Price,Review Scores Rating,Neighbourhood ,Property Type,Room Type
99,90.0,Manhattan,Apartment,Private room
199,97.0,Brooklyn,Apartment,Entire home/apt
300,100.0,Brooklyn,Apartment,Entire home/apt
85,94.0,Manhattan,Apartment,Private room
375,96.0,Manhattan,Apartment,Entire home/apt
135,79.0,Manhattan,Apartment,Entire home/apt
289,91.0,Manhattan,Apartment,Entire home/apt
179,80.0,Manhattan,Apartment,Entire home/apt
60,93.0,Manhattan,Apartment,Private room
55,88.0,Queens,House,Private room
68,86.0,Queens,House,Private room
45,78.0,Queens,House,Private room
55,88.0,Queens,House,Private room
55,88.0,Queens,House,Private room
55,93.0,Queens,House,Private room
68,86.0,Queens,House,Private room
195,95.0,Brooklyn,Apartment,Entire home/apt
55,100.0,Brooklyn,Apartment,Private room
120,90.0,Manhattan,Loft,Private room
135,95.0,Manhattan,Apartment,Entire home/apt
190,90.0,Manhattan,Apartment,Entire home/apt
95,96.0,Manhattan,Apartment,Private room
125,100.0,Brooklyn,Apartment,Entire home/apt
29,83.0,Brooklyn,Apartment,Private room
27,89.0,Brooklyn,Apartment,Private room
39,87.0,Brooklyn,Apartment,Private room
39,88.0,Brooklyn,Apartment,Private room
39,90.0,Brooklyn,Apartment,Private room
39,89.0,Brooklyn,Apartment,Private room
35,85.0,Brooklyn,Apartment,Private room
150,93.0,Manhattan,Apartment,Entire home/apt
84,100.0,Brooklyn,Apartment,Private room
115,80.0,Manhattan,Apartment,Entire home/apt
249,95.0,Manhattan,Apartment,Entire home/apt
60,98.0,Manhattan,Apartment,Private room
140,95.0,Manhattan,Apartment,Entire home/apt
70,85.0,Brooklyn,Apartment,Private room
70,81.0,Brooklyn,Apartment,Private room
70,83.0,Brooklyn,Apartment,Private room
130,85.0,Manhattan,Apartment,Entire home/apt
375,94.0,Manhattan,Apartment,Entire home/apt
375,84.0,Manhattan,Apartment,Entire home/apt
375,79.0,Manhattan,Apartment,Entire home/apt
130,84.0,Manhattan,Apartment,Entire home/apt
50,90.0,Manhattan,Apartment,Private room
50,88.0,Manhattan,Apartment,Private room
192,88.0,Manhattan,Loft,Private room
199,92.0,Manhattan,Loft,Private room
85,100.0,Brooklyn,Apartment,Entire home/apt
79,88.0,Brooklyn,Apartment,Entire home/apt
142,93.0,Brooklyn,Apartment,Entire home/apt
165,84.0,Manhattan,Apartment,Entire home/apt
150,87.0,Manhattan,Apartment,Entire home/apt
169,85.0,Manhattan,Apartment,Entire home/apt
159,90.0,Manhattan,Apartment,Entire home/apt
159,86.0,Manhattan,Apartment,Entire home/apt
169,82.0,Manhattan,Apartment,Entire home/apt
169,90.0,Manhattan,Apartment,Entire home/apt
179,94.0,Manhattan,Apartment,Entire home/apt
89,84.0,Brooklyn,Apartment,Private room
170,99.0,Brooklyn,Apartment,Entire home/apt
160,96.0,Manhattan,Apartment,Entire home/apt
150,94.0,Manhattan,Apartment,Entire home/apt
110,60.0,Manhattan,Apartment,Entire home/apt
110,84.0,Manhattan,Apartment,Entire home/apt
140,85.0,Manhattan,Apartment,Entire home/apt
125,87.0,Manhattan,Apartment,Private room
100,88.0,Manhattan,Apartment,Private room
80,92.0,Brooklyn,Apartment,Entire home/apt
131,83.0,Brooklyn,Apartment,Entire home/apt
138,90.0,Brooklyn,House,Private room
60,94.0,Brooklyn,House,Private room
70,86.0,Brooklyn,House,Private room
60,93.0,Brooklyn,House,Private room
115,100.0,Brooklyn,Apartment,Entire home/apt
113,96.0,Manhattan,Apartment,Entire home/apt
165,93.0,Brooklyn,Apartment,Entire home/apt
95,91.0,Brooklyn,Apartment,Private room
180,97.0,Brooklyn,Apartment,Entire home/apt
160,91.0,Brooklyn,Apartment,Entire home/apt
122,85.0,Brooklyn,Apartment,Entire home/apt
329,84.0,Manhattan,Apartment,Entire home/apt
101,90.0,Manhattan,Apartment,Private room
130,93.0,Manhattan,Apartment,Private room
120,95.0,Manhattan,Apartment,Entire home/apt
110,95.0,Brooklyn,House,Private room
160,98.0,Manhattan,Apartment,Entire home/apt
135,100.0,Brooklyn,Apartment,Entire home/apt
89,98.0,Manhattan,Apartment,Private room
475,100.0,Brooklyn,Apartment,Entire home/apt
200,96.0,Brooklyn,Loft,Entire home/apt
135,98.0,Brooklyn,Apartment,Entire home/apt
140,93.0,Manhattan,Apartment,Entire home/apt
238,96.0,Brooklyn,Apartment,Entire home/apt
140,95.0,Brooklyn,Apartment,Entire home/apt
165,94.0,Brooklyn,House,Entire home/apt
110,100.0,Brooklyn,Apartment,Entire home/apt
272,100.0,Brooklyn,Condominium,Entire home/apt
250,97.0,Brooklyn,Apartment,Entire home/apt
80,89.0,Brooklyn,Apartment,Entire home/apt
80,100.0,Brooklyn,Apartment,Private room
120,98.0,Manhattan,Apartment,Private room
160,90.0,Brooklyn,Apartment,Entire home/apt
150,80.0,Brooklyn,Apartment,Entire home/apt
200,80.0,Manhattan,Apartment,Entire home/apt
42,60.0,Queens,House,Private room
42,80.0,Queens,House,Private room
42,76.0,Queens,House,Private room
42,72.0,Queens,House,Private room
45,40.0,Queens,House,Private room
149,100.0,Brooklyn,Apartment,Entire home/apt
150,92.0,Manhattan,Apartment,Entire home/apt
150,98.0,Manhattan,Apartment,Entire home/apt
69,90.0,Brooklyn,Apartment,Private room
192,96.0,Brooklyn,Loft,Entire home/apt
195,93.0,Manhattan,Apartment,Entire home/apt
70,98.0,Staten Island,House,Entire home/apt
70,85.0,Manhattan,Apartment,Private room
70,88.0,Manhattan,Apartment,Private room
90,89.0,Manhattan,Apartment,Private room
308,97.0,Manhattan,Apartment,Entire home/apt
49,85.0,Brooklyn,Apartment,Private room
126,100.0,Brooklyn,Apartment,Private room
120,72.0,Manhattan,Apartment,Private room
235,98.0,Manhattan,Apartment,Entire home/apt
235,100.0,Manhattan,Apartment,Entire home/apt
235,96.0,Manhattan,Apartment,Entire home/apt
235,90.0,Manhattan,Apartment,Entire home/apt
115,91.0,Brooklyn,Apartment,Entire home/apt
145,98.0,Manhattan,Apartment,Entire home/apt
50,94.0,Manhattan,Apartment,Shared room
235,100.0,Brooklyn,Apartment,Entire home/apt
185,62.0,Manhattan,Apartment,Entire home/apt
185,74.0,Manhattan,Apartment,Entire home/apt
315,98.0,Brooklyn,House,Entire home/apt
59,98.0,Manhattan,Apartment,Private room
150,84.0,Brooklyn,Apartment,Entire home/apt
150,86.0,Brooklyn,Apartment,Entire home/apt
150,93.0,Manhattan,Apartment,Entire home/apt
120,97.0,Queens,Townhouse,Private room
75,94.0,Brooklyn,Apartment,Private room
248,93.0,Brooklyn,Apartment,Entire home/apt
128,91.0,Brooklyn,House,Private room
128,92.0,Brooklyn,House,Private room
128,86.0,Brooklyn,House,Private room
128,89.0,Brooklyn,House,Private room
56,100.0,Manhattan,Apartment,Private room
50,96.0,Queens,Apartment,Private room
100,100.0,Brooklyn,Apartment,Entire home/apt
220,90.0,Manhattan,Apartment,Entire home/apt
80,94.0,Brooklyn,Apartment,Private room
207,91.0,Manhattan,Apartment,Entire home/apt
199,94.0,Manhattan,Apartment,Entire home/apt
199,85.0,Brooklyn,House,Entire home/apt
125,87.0,Brooklyn,Loft,Entire home/apt
59,100.0,Brooklyn,Condominium,Private room
145,96.0,Manhattan,Apartment,Entire home/apt
195,96.0,Brooklyn,Apartment,Entire home/apt
200,100.0,Manhattan,Townhouse,Entire home/apt
90,96.0,Brooklyn,House,Private room
95,99.0,Brooklyn,House,Private room
85,98.0,Brooklyn,House,Private room
99,100.0,Brooklyn,Townhouse,Private room
150,100.0,Brooklyn,Apartment,Private room
225,95.0,Manhattan,Apartment,Entire home/apt
125,93.0,Brooklyn,Apartment,Entire home/apt
180,92.0,Manhattan,Apartment,Entire home/apt
150,97.0,Manhattan,Apartment,Entire home/apt
160,82.0,Manhattan,Apartment,Entire home/apt
180,86.0,Manhattan,Apartment,Entire home/apt
210,79.0,Manhattan,Apartment,Entire home/apt
120,98.0,Manhattan,Apartment,Private room
130,100.0,Manhattan,Apartment,Private room
125,99.0,Manhattan,Apartment,Private room
99,88.0,Manhattan,Apartment,Private room
300,90.0,Brooklyn,Apartment,Entire home/apt
385,60.0,Brooklyn,House,Entire home/apt
145,100.0,Brooklyn,House,Private room
135,97.0,Brooklyn,House,Private room
135,100.0,Brooklyn,House,Private room
150,100.0,Manhattan,Apartment,Private room
150,97.0,Brooklyn,Apartment,Entire home/apt
190,96.0,Brooklyn,Apartment,Entire home/apt
149,95.0,Brooklyn,Apartment,Entire home/apt
200,100.0,Manhattan,Apartment,Entire home/apt
200,90.0,Manhattan,Apartment,Entire home/apt
170,98.0,Brooklyn,Apartment,Entire home/apt
445,90.0,Manhattan,Apartment,Entire home/apt
135,78.0,Manhattan,Apartment,Entire home/apt
74,93.0,Manhattan,Apartment,Private room
99,82.0,Manhattan,Apartment,Entire home/apt
129,82.0,Manhattan,Apartment,Entire home/apt
59,85.0,Manhattan,Apartment,Private room
79,96.0,Manhattan,Apartment,Private room
160,90.0,Queens,Apartment,Entire home/apt
160,96.0,Queens,House,Entire home/apt
165,96.0,Brooklyn,Apartment,Entire home/apt
195,98.0,Brooklyn,Apartment,Entire home/apt
160,89.0,Manhattan,Apartment,Entire home/apt
220,93.0,Manhattan,Apartment,Entire home/apt
180,100.0,Manhattan,Apartment,Entire home/apt
280,93.0,Manhattan,Apartment,Entire home/apt
136,90.0,Brooklyn,Apartment,Entire home/apt
150,91.0,Manhattan,Apartment,Entire home/apt
247,92.0,Manhattan,Apartment,Entire home/apt
149,76.0,Manhattan,Apartment,Entire home/apt
72,97.0,Brooklyn,Apartment,Private room
110,96.0,Manhattan,Apartment,Private room
118,90.0,Manhattan,Apartment,Private room
89,90.0,Manhattan,Apartment,Private room
110,100.0,Manhattan,Apartment,Private room
79,86.0,Manhattan,Apartment,Private room
77,84.0,Manhattan,Apartment,Private room
76,78.0,Manhattan,Apartment,Private room
90,89.0,Manhattan,Dorm,Private room
207,90.0,Brooklyn,Apartment,Entire home/apt
139,94.0,Manhattan,Apartment,Entire home/apt
109,94.0,Manhattan,Apartment,Entire home/apt
59,93.0,Brooklyn,Apartment,Private room
59,79.0,Brooklyn,Apartment,Private room
69,80.0,Brooklyn,Apartment,Private room
69,79.0,Brooklyn,Apartment,Private room
59,80.0,Brooklyn,Apartment,Private room
59,80.0,Brooklyn,Apartment,Private room
69,94.0,Manhattan,Apartment,Private room
59,92.0,Manhattan,Apartment,Private room
175,94.0,Manhattan,Apartment,Entire home/apt
100,95.0,Brooklyn,Apartment,Private room
92,91.0,Manhattan,Apartment,Private room
120,100.0,Manhattan,Apartment,Entire home/apt
95,99.0,Manhattan,Apartment,Private room
110,96.0,Brooklyn,Apartment,Entire home/apt
100,92.0,Brooklyn,Apartment,Entire home/apt
135,95.0,Brooklyn,Apartment,Entire home/apt
205,93.0,Manhattan,Apartment,Entire home/apt
75,100.0,Brooklyn,Apartment,Private room
90,86.0,Manhattan,Apartment,Private room
200,95.0,Manhattan,Apartment,Entire home/apt
140,97.0,Brooklyn,Apartment,Entire home/apt
145,79.0,Brooklyn,Apartment,Entire home/apt
99,86.0,Brooklyn,Apartment,Entire home/apt
99,82.0,Brooklyn,Apartment,Entire home/apt
99,86.0,Brooklyn,Apartment,Entire home/apt
99,89.0,Brooklyn,Apartment,Entire home/apt
159,90.0,Brooklyn,Apartment,Entire home/apt
299,81.0,Brooklyn,House,Entire home/apt
155,95.0,Manhattan,Apartment,Entire home/apt
165,94.0,Manhattan,Apartment,Entire home/apt
89,77.0,Brooklyn,House,Private room
149,80.0,Manhattan,Apartment,Entire home/apt
110,98.0,Queens,House,Private room
145,95.0,Brooklyn,Apartment,Entire home/apt
222,93.0,Manhattan,Apartment,Entire home/apt
169,96.0,Manhattan,Apartment,Entire home/apt
245,85.0,Brooklyn,Apartment,Entire home/apt
220,98.0,Manhattan,Apartment,Entire home/apt
130,87.0,Manhattan,Apartment,Entire home/apt
165,87.0,Manhattan,Apartment,Entire home/apt
69,91.0,Manhattan,Apartment,Private room
250,97.0,Brooklyn,Apartment,Entire home/apt
150,86.0,Manhattan,Apartment,Entire home/apt
99,100.0,Brooklyn,Apartment,Private room
165,90.0,Manhattan,Loft,Private room
145,72.0,Manhattan,Apartment,Entire home/apt
225,80.0,Manhattan,Apartment,Entire home/apt
104,95.0,Queens,Apartment,Entire home/apt
275,90.0,Brooklyn,Apartment,Entire home/apt
153,93.0,Brooklyn,Apartment,Entire home/apt
475,80.0,Brooklyn,House,Entire home/apt
65,94.0,Manhattan,Apartment,Private room
349,98.0,Brooklyn,Apartment,Entire home/apt
220,100.0,Brooklyn,Apartment,Entire home/apt
65,94.0,Brooklyn,Apartment,Private room
75,100.0,Brooklyn,Apartment,Private room
85,96.0,Brooklyn,Apartment,Private room
160,100.0,Brooklyn,Apartment,Private room
100,88.0,Manhattan,Bed & Breakfast,Private room
180,88.0,Manhattan,Apartment,Entire home/apt
90,80.0,Brooklyn,Loft,Entire home/apt
90,93.0,Manhattan,Apartment,Private room
135,90.0,Brooklyn,Apartment,Entire home/apt
85,100.0,Manhattan,Apartment,Private room
185,96.0,Manhattan,Apartment,Entire home/apt
225,80.0,Brooklyn,Apartment,Entire home/apt
150,88.0,Manhattan,Apartment,Entire home/apt
175,93.0,Queens,Boat,Entire home/apt
120,90.0,Manhattan,Apartment,Private room
60,100.0,Brooklyn,House,Private room
180,90.0,Brooklyn,Apartment,Entire home/apt
114,92.0,Manhattan,Apartment,Entire home/apt
225,95.0,Manhattan,Apartment,Entire home/apt
72,90.0,Brooklyn,Apartment,Shared room
99,90.0,Brooklyn,Apartment,Entire home/apt
99,89.0,Brooklyn,Apartment,Entire home/apt
99,77.0,Brooklyn,Apartment,Entire home/apt
99,50.0,Brooklyn,Apartment,Entire home/apt
160,96.0,Brooklyn,Loft,Entire home/apt
50,80.0,Brooklyn,Apartment,Private room
55,92.0,Manhattan,Apartment,Private room
249,80.0,Brooklyn,Apartment,Entire home/apt
195,87.0,Brooklyn,Apartment,Entire home/apt
225,98.0,Brooklyn,Apartment,Entire home/apt
180,91.0,Manhattan,Apartment,Entire home/apt
95,77.0,Manhattan,Apartment,Private room
105,90.0,Brooklyn,Apartment,Entire home/apt
120,95.0,Manhattan,Apartment,Private room
220,80.0,Brooklyn,Apartment,Entire home/apt
200,87.0,Brooklyn,Apartment,Entire home/apt
200,83.0,Brooklyn,Apartment,Entire home/apt
210,97.0,Manhattan,Apartment,Entire home/apt
190,97.0,Manhattan,Apartment,Entire home/apt
320,96.0,Manhattan,Apartment,Entire home/apt
190,96.0,Brooklyn,Apartment,Entire home/apt
100,100.0,Brooklyn,Apartment,Entire home/apt
75,96.0,Brooklyn,Apartment,Private room
292,97.0,Manhattan,Apartment,Entire home/apt
132,93.0,Brooklyn,Apartment,Entire home/apt
89,94.0,Brooklyn,Apartment,Private room
190,98.0,Manhattan,Apartment,Entire home/apt
75,95.0,Manhattan,Apartment,Private room
100,86.0,Manhattan,Apartment,Private room
70,100.0,Queens,Apartment,Private room
160,100.0,Brooklyn,Apartment,Entire home/apt
125,94.0,Manhattan,Apartment,Private room
150,97.0,Manhattan,Apartment,Private room
225,95.0,Manhattan,Apartment,Entire home/apt
226,95.0,Manhattan,Apartment,Entire home/apt
85,97.0,Brooklyn,Apartment,Private room
129,89.0,Brooklyn,Apartment,Entire home/apt
225,93.0,Manhattan,Apartment,Entire home/apt
420,95.0,Manhattan,Apartment,Entire home/apt
500,94.0,Manhattan,Apartment,Entire home/apt
325,94.0,Manhattan,Apartment,Entire home/apt
307,95.0,Manhattan,Apartment,Entire home/apt
420,98.0,Manhattan,Apartment,Entire home/apt
225,93.0,Manhattan,Apartment,Entire home/apt
84,93.0,Brooklyn,Apartment,Private room
78,92.0,Brooklyn,Apartment,Private room
79,100.0,Brooklyn,Apartment,Private room
125,95.0,Manhattan,Apartment,Private room
125,92.0,Manhattan,Apartment,Private room
125,99.0,Manhattan,Loft,Private room
95,100.0,Brooklyn,Apartment,Private room
105,90.0,Brooklyn,Apartment,Entire home/apt
95,90.0,Brooklyn,Apartment,Entire home/apt
100,93.0,Brooklyn,Apartment,Entire home/apt
450,93.0,Brooklyn,Apartment,Entire home/apt
265,89.0,Manhattan,Apartment,Entire home/apt
600,92.0,Brooklyn,Apartment,Entire home/apt
150,92.0,Brooklyn,Apartment,Entire home/apt
145,94.0,Brooklyn,Apartment,Entire home/apt
99,92.0,Brooklyn,Apartment,Entire home/apt
140,89.0,Manhattan,Apartment,Entire home/apt
108,92.0,Manhattan,Apartment,Entire home/apt
95,98.0,Brooklyn,Apartment,Private room
105,89.0,Brooklyn,Apartment,Entire home/apt
80,92.0,Brooklyn,Apartment,Private room
80,91.0,Brooklyn,Apartment,Private room
85,91.0,Brooklyn,Apartment,Private room
70,91.0,Brooklyn,Loft,Private room
225,100.0,Brooklyn,Apartment,Entire home/apt
131,97.0,Brooklyn,Townhouse,Entire home/apt
110,100.0,Queens,Apartment,Entire home/apt
70,100.0,Queens,Apartment,Private room
250,97.0,Brooklyn,Apartment,Entire home/apt
110,85.0,Brooklyn,Apartment,Entire home/apt
175,90.0,Manhattan,Apartment,Entire home/apt
59,92.0,Brooklyn,Apartment,Private room
110,80.0,Queens,Apartment,Entire home/apt
115,85.0,Manhattan,Apartment,Private room
115,84.0,Manhattan,Apartment,Private room
110,80.0,Manhattan,Loft,Private room
215,100.0,Manhattan,Apartment,Entire home/apt
120,93.0,Manhattan,Apartment,Private room
199,77.0,Manhattan,Apartment,Entire home/apt
125,94.0,Manhattan,Apartment,Private room
175,97.0,Brooklyn,Apartment,Entire home/apt
210,100.0,Brooklyn,Apartment,Entire home/apt
220,95.0,Manhattan,Apartment,Private room
220,100.0,Manhattan,Apartment,Private room
200,98.0,Brooklyn,Apartment,Entire home/apt
85,90.0,Manhattan,Apartment,Private room
85,93.0,Manhattan,Apartment,Private room
123,93.0,Brooklyn,Apartment,Entire home/apt
150,89.0,Manhattan,Apartment,Entire home/apt
155,99.0,Brooklyn,Apartment,Entire home/apt
179,94.0,Manhattan,Apartment,Entire home/apt
179,91.0,Manhattan,Apartment,Entire home/apt
200,92.0,Manhattan,Apartment,Entire home/apt
190,100.0,Manhattan,Apartment,Entire home/apt
120,100.0,Brooklyn,Apartment,Entire home/apt
150,92.0,Manhattan,Apartment,Entire home/apt
250,93.0,Manhattan,Apartment,Entire home/apt
165,93.0,Manhattan,Apartment,Entire home/apt
190,97.0,Manhattan,Apartment,Entire home/apt
70,100.0,Manhattan,Apartment,Private room
135,96.0,Brooklyn,Apartment,Entire home/apt
140,94.0,Brooklyn,Apartment,Entire home/apt
100,94.0,Brooklyn,Apartment,Entire home/apt
189,100.0,Brooklyn,Townhouse,Entire home/apt
32,97.0,Queens,Apartment,Private room
249,97.0,Manhattan,Apartment,Entire home/apt
55,100.0,Brooklyn,Apartment,Private room
58,100.0,Brooklyn,Apartment,Private room
60,93.0,Brooklyn,Apartment,Private room
120,97.0,Manhattan,Apartment,Private room
120,93.0,Queens,Apartment,Entire home/apt
85,100.0,Brooklyn,Apartment,Entire home/apt
79,96.0,Brooklyn,Apartment,Private room
125,76.0,Brooklyn,Apartment,Entire home/apt
175,71.0,Brooklyn,Apartment,Entire home/apt
135,98.0,Brooklyn,House,Entire home/apt
125,92.0,Manhattan,Apartment,Entire home/apt
86,100.0,Brooklyn,Apartment,Entire home/apt
200,100.0,Brooklyn,House,Entire home/apt
230,95.0,Manhattan,House,Entire home/apt
150,100.0,Queens,Apartment,Entire home/apt
